server_id,window_start,window_end,avg_cpu,avg_mem,alert
server_1,20:54:00,20:54:30,53.96,53.26,""
server_1,20:54:10,20:54:40,48.25,47.3,""
server_1,20:54:20,20:54:50,57.14,54.12,""
server_1,20:54:30,20:55:00,52.52,51.61,""
server_1,20:54:40,20:55:10,38.53,61.36,""
server_1,20:54:50,20:55:20,38.29,52.88,""
server_1,20:55:00,20:55:30,31.05,60.3,""
server_1,20:55:10,20:55:40,35.53,36.76,""
server_1,20:55:20,20:55:50,42.7,55.87,""
server_1,20:55:30,20:56:00,44.76,65.3,""
server_1,20:55:40,20:56:10,47.7,72.27,""
server_1,20:55:50,20:56:20,34.5,61.6,""
server_1,20:56:00,20:56:30,34.18,48.27,""
server_1,20:56:10,20:56:40,39.37,49.38,""
server_1,20:56:20,20:56:50,47.23,52.28,""
server_1,20:56:30,20:57:00,61.9,56.75,""
server_1,20:56:40,20:57:10,63.8,58.54,""
server_1,20:56:50,20:57:20,52.32,62.13,""
server_1,20:57:00,20:57:30,39.74,50.14,""
server_1,20:57:10,20:57:40,29.85,38.71,""
server_1,20:57:20,20:57:50,51.74,33.22,""
server_1,20:57:30,20:58:00,59.11,34.27,""
server_1,20:57:40,20:58:10,69.48,51.73,""
server_1,20:57:50,20:58:20,56.7,52.44,""
server_1,20:58:00,20:58:30,55.38,59.53,""
server_1,20:58:10,20:58:40,50.15,68.63,""
server_1,20:58:20,20:58:50,47.18,64.21,""
server_1,20:58:30,20:59:00,46.43,60.34,""
server_1,20:58:40,20:59:10,46.37,44.64,""
server_1,20:58:50,20:59:20,51.71,39.34,""
server_1,20:59:00,20:59:30,54.17,52.36,""
server_1,20:59:10,20:59:40,59.89,59.41,""
server_1,20:59:20,20:59:50,58.73,80.61,Memory saturation suspected
server_1,20:59:30,21:00:00,59.43,60.11,""
server_1,20:59:40,21:00:10,52.66,56.96,""
server_1,20:59:50,21:00:20,50.09,58.47,""
server_1,21:00:00,21:00:30,46.93,62.58,""
server_1,21:00:10,21:00:40,58.85,68.22,""
server_1,21:00:20,21:00:50,60.86,52.99,""
server_1,21:00:30,21:01:00,68.55,65.96,""
server_1,21:00:40,21:01:10,55.63,64.53,""
server_1,21:00:50,21:01:20,51.94,64.19,""
server_1,21:01:00,21:01:30,42.7,56.9,""
server_1,21:01:10,21:01:40,52.34,52.98,""
server_1,21:01:20,21:01:50,55.85,56.07,""
server_1,21:01:30,21:02:00,60.77,49.49,""
server_1,21:01:40,21:02:10,62.72,52.39,""
server_1,21:01:50,21:02:20,59.6,50.68,""
server_1,21:02:00,21:02:30,56.3,58.44,""
server_1,21:02:10,21:02:40,46.3,48.29,""
server_1,21:02:20,21:02:50,37.29,53.43,""
server_1,21:02:30,21:03:00,44.84,41.78,""
server_1,21:02:40,21:03:10,47.44,43.59,""
server_1,21:02:50,21:03:20,68.33,30.41,""
server_1,21:03:00,21:03:30,64.66,44.8,""
server_1,21:03:10,21:03:40,66.55,53.79,""
server_1,21:03:20,21:03:50,57.49,64.8,""
server_1,21:03:30,21:04:00,53.99,61.93,""
server_1,21:03:40,21:04:10,47.92,51.17,""
server_1,21:03:50,21:04:20,33.84,61.69,""
server_1,21:04:00,21:04:30,36.39,53.3,""
server_1,21:04:10,21:04:40,54.45,59.17,""
server_1,21:04:20,21:04:50,63.9,49.42,""
server_1,21:04:30,21:05:00,56.35,51.62,""
server_1,21:04:40,21:05:10,47.96,41.42,""
server_1,21:04:50,21:05:20,56.12,38.39,""
server_1,21:05:00,21:05:30,62.32,42.59,""
server_1,21:05:10,21:05:40,61.71,58.2,""
server_1,21:05:20,21:05:50,54.54,61.12,""
server_1,21:05:30,21:06:00,42.59,65.87,""
server_1,21:05:40,21:06:10,39.45,60.63,""
server_1,21:05:50,21:06:20,33.06,59.91,""
server_1,21:06:00,21:06:30,50.23,61.01,""
server_1,21:06:10,21:06:40,60.7,59.17,""
server_1,21:06:20,21:06:50,76.79,62.71,""
server_1,21:06:30,21:07:00,65.9,63.03,""
server_1,21:06:40,21:07:10,55.28,51.63,""
server_1,21:06:50,21:07:20,47.74,46.09,""
server_1,21:07:00,21:07:30,54.65,44.15,""
server_1,21:07:10,21:07:40,65.39,68.74,""
server_1,21:07:20,21:07:50,59.62,74.28,""
server_1,21:07:30,21:08:00,59.9,64.07,""
server_1,21:07:40,21:08:10,46.26,54.56,""
server_1,21:07:50,21:08:20,51.96,45.14,""
server_1,21:08:00,21:08:30,47.33,51.81,""
server_1,21:08:10,21:08:40,55.89,55.7,""
server_1,21:08:20,21:08:50,52.01,57.9,""
server_1,21:08:30,21:09:00,61.52,65.26,""
server_1,21:08:40,21:09:10,46.73,52.39,""
server_1,21:08:50,21:09:20,51.84,57.06,""
server_1,21:09:00,21:09:30,43.03,44.82,""
server_1,21:09:10,21:09:40,55.03,52.34,""
server_1,21:09:20,21:09:50,47.26,56.53,""
server_1,21:09:30,21:10:00,52.46,64.36,""
server_1,21:09:40,21:10:10,44.72,56.98,""
server_1,21:09:50,21:10:20,56.94,51.78,""
server_1,21:10:00,21:10:30,59.69,44.96,""
server_1,21:10:10,21:10:40,60.56,59.19,""
server_1,21:10:20,21:10:50,65.43,66.51,""
server_1,21:10:30,21:11:00,59.55,85.7,Memory saturation suspected
server_1,21:10:40,21:11:10,72.85,78.91,Memory saturation suspected
server_1,21:10:50,21:11:20,49.63,84.09,Memory saturation suspected
server_1,21:11:00,21:11:30,54.39,70.19,""
server_1,21:11:10,21:11:40,39.37,62.55,""
server_1,21:11:20,21:11:50,59.17,55.51,""
server_1,21:11:30,21:12:00,48.83,48.64,""
server_1,21:11:40,21:12:10,57.99,59.22,""
server_1,21:11:50,21:12:20,51.72,52.78,""
server_1,21:12:00,21:12:30,55.22,57.28,""
server_1,21:12:10,21:12:40,47.43,49.77,""
server_1,21:12:20,21:12:50,38.56,42.4,""
server_1,21:12:30,21:13:00,41.84,38.35,""
server_1,21:12:40,21:13:10,44.11,35.26,""
server_1,21:12:50,21:13:20,56.29,39.9,""
server_1,21:13:00,21:13:30,61.11,50.91,""
server_1,21:13:10,21:13:40,64.05,56.73,""
server_1,21:13:20,21:13:50,52.38,63.91,""
server_1,21:13:30,21:14:00,50.03,51.06,""
server_1,21:13:40,21:14:10,54.68,55.88,""
server_1,21:13:50,21:14:20,62.31,44.63,""
server_1,21:14:00,21:14:30,60.73,53.1,""
server_1,21:14:10,21:14:40,58.48,39.53,""
server_1,21:14:20,21:14:50,65.81,52.53,""
server_1,21:14:30,21:15:00,71.28,55.04,""
server_1,21:14:40,21:15:10,72.14,69.76,""
server_1,21:14:50,21:15:20,64.89,61.5,""
server_1,21:15:00,21:15:30,61.85,62.52,""
server_1,21:15:10,21:15:40,59.48,59.15,""
server_1,21:15:20,21:15:50,56.8,63.09,""
server_1,21:15:30,21:16:00,51.48,58.96,""
server_1,21:15:40,21:16:10,57.02,45.52,""
server_1,21:15:50,21:16:20,67.35,49.43,""
server_1,21:16:00,21:16:30,65.17,47.74,""
server_1,21:16:10,21:16:40,59.37,54.93,""
server_1,21:16:20,21:16:50,46.09,55.73,""
server_1,21:16:30,21:17:00,45.58,57.16,""
server_1,21:16:40,21:17:10,40.01,59.77,""
server_1,21:16:50,21:17:20,40.51,49.15,""
server_1,21:17:00,21:17:30,42.24,47.1,""
server_1,21:17:10,21:17:40,51.83,53.92,""
server_1,21:17:20,21:17:50,59.88,59.92,""
server_1,21:17:30,21:18:00,72.57,67.12,""
server_1,21:17:40,21:18:10,61.88,63.94,""
server_1,21:17:50,21:18:20,69.26,61.65,""
server_1,21:18:00,21:18:30,54.17,47.99,""
server_1,21:18:10,21:18:40,58.48,46.87,""
server_1,21:18:20,21:18:50,52.51,38.42,""
server_1,21:18:30,21:19:00,55.6,44.77,""
server_1,21:18:40,21:19:10,44.93,32.65,""
server_1,21:18:50,21:19:20,42.76,40.84,""
server_1,21:19:00,21:19:30,48.6,44.95,""
server_1,21:19:10,21:19:40,58.63,51.74,""
server_1,21:19:20,21:19:50,61.6,50.59,""
server_1,21:19:30,21:20:00,55.35,50.24,""
server_1,21:19:40,21:20:10,60.37,47.57,""
server_1,21:19:50,21:20:20,54.07,47.95,""
server_1,21:20:00,21:20:30,55.37,49.11,""
server_1,21:20:10,21:20:40,50.05,57.98,""
server_1,21:20:20,21:20:50,42.09,61.35,""
server_1,21:20:30,21:21:00,41.52,56.8,""
server_1,21:20:40,21:21:10,33.04,55.49,""
server_1,21:20:50,21:21:20,47.34,58.0,""
server_1,21:21:00,21:21:30,51.61,63.91,""
server_1,21:21:10,21:21:40,47.34,65.94,""
server_1,21:21:20,21:21:50,49.2,58.75,""
server_1,21:21:30,21:22:00,42.35,53.38,""
server_1,21:21:40,21:22:10,56.07,41.24,""
server_1,21:21:50,21:22:20,52.88,48.54,""
server_1,21:22:00,21:22:30,45.65,56.66,""
server_1,21:22:10,21:22:40,41.71,73.25,""
server_1,21:22:20,21:22:50,38.13,63.23,""
server_1,21:22:30,21:23:00,54.26,50.89,""
server_1,21:22:40,21:23:10,54.55,39.69,""
server_1,21:22:50,21:23:20,54.77,42.07,""
server_1,21:23:00,21:23:30,40.77,36.77,""
server_1,21:23:10,21:23:40,38.11,40.16,""
server_1,21:23:20,21:23:50,43.05,31.55,""
server_1,21:23:30,21:24:00,59.22,38.2,""
server_1,21:23:40,21:24:10,71.24,48.45,""
server_1,21:23:50,21:24:20,71.21,56.01,""
server_1,21:24:00,21:24:30,60.24,54.71,""
server_1,21:24:10,21:24:40,59.08,42.85,""
server_1,21:24:20,21:24:50,43.83,49.2,""
server_1,21:24:30,21:25:00,44.04,54.74,""
server_1,21:24:40,21:25:10,37.52,67.52,""
server_1,21:24:50,21:25:20,46.74,65.74,""
server_1,21:25:00,21:25:30,52.29,77.97,Memory saturation suspected
server_1,21:25:10,21:25:40,43.88,72.85,""
server_1,21:25:20,21:25:50,41.12,77.36,""
server_1,21:25:30,21:26:00,48.75,74.37,""
server_1,21:25:40,21:26:10,48.49,60.5,""
server_1,21:25:50,21:26:20,50.42,54.99,""
server_1,21:26:00,21:26:30,37.09,50.78,""
server_1,21:26:10,21:26:40,45.97,70.31,""
server_1,21:26:20,21:26:50,40.18,78.26,Memory saturation suspected
server_1,21:26:30,21:27:00,45.6,74.84,""
server_1,21:26:40,21:27:10,49.04,65.54,""
server_1,21:26:50,21:27:20,57.16,56.59,""
server_1,21:27:00,21:27:30,51.45,50.3,""
server_1,21:27:10,21:27:40,42.02,56.38,""
server_1,21:27:20,21:27:50,41.39,60.58,""
server_1,21:27:30,21:28:00,43.96,65.26,""
server_1,21:27:40,21:28:10,45.3,66.13,""
