server_id,window_start,window_end,max_net_in,max_disk_io,alert
server_1,20:54:00,20:54:30,2144.27,540.06,""
server_1,20:54:10,20:54:40,4255.53,1374.74,""
server_1,20:54:20,20:54:50,17413.24,1374.74,Possible DDoS
server_1,20:54:30,20:55:00,17413.24,1374.74,Possible DDoS
server_1,20:54:40,20:55:10,17413.24,92.70,Possible DDoS
server_1,20:54:50,20:55:20,784.82,92.70,""
server_1,20:55:00,20:55:30,784.82,92.70,""
server_1,20:55:10,20:55:40,784.82,5262.68,Disk thrash suspected
server_1,20:55:20,20:55:50,970.28,5262.68,Disk thrash suspected
server_1,20:55:30,20:56:00,970.28,5262.68,Disk thrash suspected
server_1,20:55:40,20:56:10,970.28,107.32,""
server_1,20:55:50,20:56:20,1006.40,1412.40,""
server_1,20:56:00,20:56:30,1006.40,3945.65,""
server_1,20:56:10,20:56:40,19083.58,3945.65,Possible DDoS
server_1,20:56:20,20:56:50,19083.58,3945.65,Possible DDoS
server_1,20:56:30,20:57:00,19083.58,1054.53,Possible DDoS
server_1,20:56:40,20:57:10,11957.40,1829.29,Possible DDoS
server_1,20:56:50,20:57:20,11957.40,5236.11,Network flood + Disk thrash suspected
server_1,20:57:00,20:57:30,11957.40,5236.11,Network flood + Disk thrash suspected
server_1,20:57:10,20:57:40,402.73,5236.11,Disk thrash suspected
server_1,20:57:20,20:57:50,1029.29,3299.66,""
server_1,20:57:30,20:58:00,8280.15,134.69,Possible DDoS
server_1,20:57:40,20:58:10,8280.15,115.79,Possible DDoS
server_1,20:57:50,20:58:20,8280.15,118.85,Possible DDoS
server_1,20:58:00,20:58:30,1906.10,564.11,""
server_1,20:58:10,20:58:40,1906.10,564.11,""
server_1,20:58:20,20:58:50,2194.89,1077.91,""
server_1,20:58:30,20:59:00,5405.21,3862.45,Possible DDoS
server_1,20:58:40,20:59:10,5405.21,3862.45,Possible DDoS
server_1,20:58:50,20:59:20,5405.21,3862.45,Possible DDoS
server_1,20:59:00,20:59:30,918.93,86.03,""
server_1,20:59:10,20:59:40,952.42,160.74,""
server_1,20:59:20,20:59:50,952.42,160.74,""
server_1,20:59:30,21:00:00,952.42,3542.43,""
server_1,20:59:40,21:00:10,856.24,3542.43,""
server_1,20:59:50,21:00:20,976.56,3542.43,""
server_1,21:00:00,21:00:30,8734.67,124.81,Possible DDoS
server_1,21:00:10,21:00:40,8734.67,97.97,Possible DDoS
server_1,21:00:20,21:00:50,17569.21,97.97,Possible DDoS
server_1,21:00:30,21:01:00,17569.21,140.07,Possible DDoS
server_1,21:00:40,21:01:10,17569.21,932.68,Possible DDoS
server_1,21:00:50,21:01:20,4067.98,932.68,""
server_1,21:01:00,21:01:30,4067.98,1887.33,""
server_1,21:01:10,21:01:40,3383.00,6913.18,Disk thrash suspected
server_1,21:01:20,21:01:50,3383.00,6913.18,Disk thrash suspected
